ID,Testrail Link,Title,Automatability,Automation Assignee,Vendor Assignee,Automation Complexity,Automation Status,Capability,Complexity,Created On,Priority,Product,Status,Suite,Testing Phase,Testing Type,Test Type,Platform,Updated By,Updated On
C1138422,https://myntfintech.testrail.io/index.php?/cases/view/1138422,[IS-JAR-WEB-2880] [Multi-Profile Nomination][Random Not Nominateed Profile] Verify Not Yet Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138424,https://myntfintech.testrail.io/index.php?/cases/view/1138424,[IS-JAR-WEB-2882] [Multi-Profile Nomination][2nd Child] Verify 2nd Child's Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138426,https://myntfintech.testrail.io/index.php?/cases/view/1138426,[IS-JAR-WEB-2884] [Multi-Profile Nomination][Random Not Nominateed Profile] Verify Not Yet Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138428,https://myntfintech.testrail.io/index.php?/cases/view/1138428,[IS-JAR-WEB-2886] [Multi-Profile Nomination][3rd Child] Verify 3rd Child's Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138430,https://myntfintech.testrail.io/index.php?/cases/view/1138430,[IS-JAR-WEB-2888] [Multi-Profile Nomination][Random Not Nominateed Profile] Verify Not Yet Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138432,https://myntfintech.testrail.io/index.php?/cases/view/1138432,[IS-JAR-WEB-2890] [Multi-Profile Nomination][Double Nomination in already Nominated Profile] Verify Already Nominated Mobtel to undergo nomination again should have Remarks on Mobtel Changes in Notes Tab of the following pages.,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138434,https://myntfintech.testrail.io/index.php?/cases/view/1138434,[IS-JAR-WEB-2892] [Multi-Profile Nomination][Random Not Nominateed Profile] Verify Not Yet Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138436,https://myntfintech.testrail.io/index.php?/cases/view/1138436,[IS-JAR-WEB-2894] [Multi-Profile Nomination][4th Child] Verify 4th Child's Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138438,https://myntfintech.testrail.io/index.php?/cases/view/1138438,[IS-JAR-WEB-2896] [Multi-Profile Nomination][Random Already Nominated] Verify Already Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138442,https://myntfintech.testrail.io/index.php?/cases/view/1138442,"[IS-JAR-WEB-2900] [Multi-Profile Nomination][KYC LEVEL 1] Tracking, Verify Newly Nominated mobtel's Tracking Record, CRP KYC LEVEL 1 - APPLYING LEVEL 1 should not have Previous Mobile Number in Basic Information",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138443,https://myntfintech.testrail.io/index.php?/cases/view/1138443,"[IS-JAR-WEB-2901] [Multi-Profile Nomination][KYC LEVEL 3] Tracking, Verify Newly Nominated mobtel's Tracking Record, CRP KYC LEVEL 1 - APPLYING FOR LEVEL 3 should have Previous Mobile Number in Basic Information",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138444,https://myntfintech.testrail.io/index.php?/cases/view/1138444,[IS-JAR-WEB-2902] [Multi-Profile Nomination][Nominated] Verify on the jarvis database on accounts table that the customer mobtel will updated to newly nominated mobile.,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138446,https://myntfintech.testrail.io/index.php?/cases/view/1138446,[IS-JAR-WEB-2904] [Multi-Profile Nomination] Verify Old mobtel should not be searchable,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138464,https://myntfintech.testrail.io/index.php?/cases/view/1138464,[IS-JAR-WEB-2965][Unlink Device - Transaction History][2.2] Verify if there should only have a maximum of Ten () rows to be displayed under the Device History tab,Automatable,Stratpoint,Stratpoint,Low,Not Started,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138468,https://myntfintech.testrail.io/index.php?/cases/view/1138468,[IS-JAR-WEB-2973] [Device Management] Verify if will automatically select the DEVICE INFROMATION when user search a DIFFERENT mobile number even the selected tab is DEVICE HISTORY,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138469,https://myntfintech.testrail.io/index.php?/cases/view/1138469,[IS-JAR-WEB-2974] [Device Management] Verify if will automatically select the DEVICE INFROMATION when user search a SAME mobile number even the selected tab is DEVICE HISTORY,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138491,https://myntfintech.testrail.io/index.php?/cases/view/1138491,"[IS-JAR-WEB-2931] [Success Link Device via App - AND] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138493,https://myntfintech.testrail.io/index.php?/cases/view/1138493,"[IS-JAR-WEB-2933] [Success Link Device via App - AND] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138495,https://myntfintech.testrail.io/index.php?/cases/view/1138495,"[IS-JAR-WEB-2935] [Success Link Device via App - iOS] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138497,https://myntfintech.testrail.io/index.php?/cases/view/1138497,"[IS-JAR-WEB-2937] [Success Link Device via App - iOS] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138500,https://myntfintech.testrail.io/index.php?/cases/view/1138500,"[IS-JAR-WEB-2940] [Success Link Device via Jarvis - AND] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138502,https://myntfintech.testrail.io/index.php?/cases/view/1138502,"[IS-JAR-WEB-2942] [Success Link Device via Jarvis - AND] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138505,https://myntfintech.testrail.io/index.php?/cases/view/1138505,"[IS-JAR-WEB-2945] [Success Link Device via Jarvis - iOS] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138507,https://myntfintech.testrail.io/index.php?/cases/view/1138507,"[IS-JAR-WEB-2947] [Success Link Device via Jarvis - iOS] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138510,https://myntfintech.testrail.io/index.php?/cases/view/1138510,"[IS-JAR-WEB-2950] [Success Link Device via API - AND] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138512,https://myntfintech.testrail.io/index.php?/cases/view/1138512,"[IS-JAR-WEB-2952] [Success Link Device via API - AND] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138515,https://myntfintech.testrail.io/index.php?/cases/view/1138515,"[IS-JAR-WEB-2955] [Success Link Device via API - iOS] After success Device Registration, registered device should display in Device Information tab",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138517,https://myntfintech.testrail.io/index.php?/cases/view/1138517,"[IS-JAR-WEB-2957] [Success Link Device via API - iOS] After success Device Registration, registered device should display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138472,https://myntfintech.testrail.io/index.php?/cases/view/1138472,"[IS-JAR-WEB-2908][Success Unlink Device via Jarvis - L3] Verify if after success unlink, unlink record will display in Device History",Automatable,Stratpoint,Stratpoint,Medium,Not Started,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138474,https://myntfintech.testrail.io/index.php?/cases/view/1138474,"[IS-JAR-WEB-2910][Success Unlink Device via Jarvis - L3] Verify if after success unlink, unlink record will display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138478,https://myntfintech.testrail.io/index.php?/cases/view/1138478,"[IS-JAR-WEB-2914] [Success Unlink Device via Jarvis - L1] Verify if after success unlink, unlink record will display in Device History",Automatable,Stratpoint,Stratpoint,Medium,Not Started,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138480,https://myntfintech.testrail.io/index.php?/cases/view/1138480,"[IS-JAR-WEB-2916] [Success Unlink Device via Jarvis - L1] Verify if after success unlink, unlink record will display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138483,https://myntfintech.testrail.io/index.php?/cases/view/1138483,"[IS-JAR-WEB-2919] [Success Unlink Device via App - L3] Verify if after success unlink, unlink record will display in Device History",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138485,https://myntfintech.testrail.io/index.php?/cases/view/1138485,"[IS-JAR-WEB-2921] [Success Unlink Device via App - L3] Verify if after success unlink, unlink record will display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138487,https://myntfintech.testrail.io/index.php?/cases/view/1138487,"[IS-JAR-WEB-2923] [Success Unlink Device via App - L1] Verify if after success unlink, unlink record will display in Device History",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138489,https://myntfintech.testrail.io/index.php?/cases/view/1138489,"[IS-JAR-WEB-2925] [Success Unlink Device via App - L1] Verify if after success unlink, unlink record will display in GetDeviceLogs API",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138643,https://myntfintech.testrail.io/index.php?/cases/view/1138643,"[WEB] TRIBE01-118356-002 [MPIN New Feature = ON][Success Reset] Using 09, verify if 2nd pop-up notification will display If the Zendesk ticket number inputted in 1st pop-notification is valid and correct from the Zendesk DB",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138644,https://myntfintech.testrail.io/index.php?/cases/view/1138644,"[SMS] TRIBE01-118357-003 [MPIN New Feature = ON][Success Reset] Using 09, verify SUBMIT btn behavior on 2nd pop-up notification",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138652,https://myntfintech.testrail.io/index.php?/cases/view/1138652,"[WEB] TRIBE01-118361-027 [MPIN New Feature][Switch OFF] Using 09, verify SUBMIT btn behavior on MPIN Reset BAU notification",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138654,https://myntfintech.testrail.io/index.php?/cases/view/1138654,"[WEB] TRIBE01-118361-029 [MPIN New Feature][Switch OFF] Using 63-9, verify SUBMIT btn behavior on MPIN Reset BAU notification",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138656,https://myntfintech.testrail.io/index.php?/cases/view/1138656,"[WEB] TRIBE01-121500-031 [MPIN New Feature][Unsuccess Reset] Using 09, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that not match or linked to complainant Mobile Number",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138657,https://myntfintech.testrail.io/index.php?/cases/view/1138657,"[WEB] TRIBE01-121500-032 [MPIN New Feature][Unsuccess Reset] Using 63-9, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that not match or linked to complainant Mobile Number",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138658,https://myntfintech.testrail.io/index.php?/cases/view/1138658,"[WEB] TRIBE01-121501-033 [MPIN New Feature][Unsuccess Reset] Using 09, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that already closed",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138659,https://myntfintech.testrail.io/index.php?/cases/view/1138659,"[WEB] TRIBE01-121501-034 [MPIN New Feature][Unsuccess Reset] Using 63-9, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that already closed",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138660,https://myntfintech.testrail.io/index.php?/cases/view/1138660,"[WEB] TRIBE01-121501-035 [MPIN New Feature][Unsuccess Reset] Using 09, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that alreadytag as cust_confirmed_resolved in zendesk",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138661,https://myntfintech.testrail.io/index.php?/cases/view/1138661,"[WEB] TRIBE01-121501-036 [MPIN New Feature][Success Reset] Using 63-9, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that alreadytag as cust_confirmed_resolved in zendesk",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138662,https://myntfintech.testrail.io/index.php?/cases/view/1138662,"[WEB] TRIBE01-121501-037 [MPIN New Feature][Success Reset] Using 09, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that tagged as cust_not_resolved in zendesk",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
C1138663,https://myntfintech.testrail.io/index.php?/cases/view/1138663,"[WEB] TRIBE01-121501-038 [MPIN New Feature][Unsuccess Reset] Using 63-9, verify SUBMIT btn behavior on 1st pop-up notification, if agent input a zendesk ticket number that tagged as cust_not_resolved in zendesk",Automatable,MYNT,Mynt,Low,,MPIN Reset,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,BE Regression,web,web,web,Kyarra Anne Layug,12/1/2025 5:01 AM
